Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,fraction,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,treatment
SRR7195121,OTHER,150,2910637650,PRJNA472569,SAMN09237497,1255525568,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX4111655,input,GSM3149725,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-05-09T00:00:00Z,GSM3149725,Y481,SRP148645,RiboTag mice (B6 background) crossed with Aldh1l1-Cre/ERT2 mice (FVB background but backcrossed with C57BL/6N for more than 9 generations),Control
SRR7195122,OTHER,150,2874382200,PRJNA472569,SAMN09237497,1247880993,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX4111655,input,GSM3149725,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-05-09T00:00:00Z,GSM3149725,Y481,SRP148645,RiboTag mice (B6 background) crossed with Aldh1l1-Cre/ERT2 mice (FVB background but backcrossed with C57BL/6N for more than 9 generations),Control
SRR7195123,OTHER,150,2907304350,PRJNA472569,SAMN09237497,1250593349,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4111655,input,GSM3149725,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-05-09T00:00:00Z,GSM3149725,Y481,SRP148645,RiboTag mice (B6 background) crossed with Aldh1l1-Cre/ERT2 mice (FVB background but backcrossed with C57BL/6N for more than 9 generations),Control
SRR7195124,OTHER,150,3228212400,PRJNA472569,SAMN09237496,1184013264,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX4111656,IP,GSM3149726,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-05-09T00:00:00Z,GSM3149726,Y481,SRP148645,RiboTag mice (B6 background) crossed with Aldh1l1-Cre/ERT2 mice (FVB background but backcrossed with C57BL/6N for more than 9 generations),Control
SRR7195125,OTHER,150,3181356450,PRJNA472569,SAMN09237496,1168249098,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX4111656,IP,GSM3149726,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-05-09T00:00:00Z,GSM3149726,Y481,SRP148645,RiboTag mice (B6 background) crossed with Aldh1l1-Cre/ERT2 mice (FVB background but backcrossed with C57BL/6N for more than 9 generations),Control
SRR7195126,OTHER,150,3246217200,PRJNA472569,SAMN09237496,1195537861,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX4111656,IP,GSM3149726,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-05-09T00:00:00Z,GSM3149726,Y481,SRP148645,RiboTag mice (B6 background) crossed with Aldh1l1-Cre/ERT2 mice (FVB background but backcrossed with C57BL/6N for more than 9 generations),Control
SRR7195127,OTHER,150,3408529500,PRJNA472569,SAMN09237495,1257159910,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX4111657,input,GSM3149727,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-05-09T00:00:00Z,GSM3149727,Y482,SRP148645,RiboTag mice (B6 background) crossed with Aldh1l1-Cre/ERT2 mice (FVB background but backcrossed with C57BL/6N for more than 9 generations),Control
SRR7195128,OTHER,150,3371048550,PRJNA472569,SAMN09237495,1245994740,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX4111657,input,GSM3149727,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-05-09T00:00:00Z,GSM3149727,Y482,SRP148645,RiboTag mice (B6 background) crossed with Aldh1l1-Cre/ERT2 mice (FVB background but backcrossed with C57BL/6N for more than 9 generations),Control
SRR7195129,OTHER,150,3398368350,PRJNA472569,SAMN09237495,1259685409,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX4111657,input,GSM3149727,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-05-09T00:00:00Z,GSM3149727,Y482,SRP148645,RiboTag mice (B6 background) crossed with Aldh1l1-Cre/ERT2 mice (FVB background but backcrossed with C57BL/6N for more than 9 generations),Control
SRR7195130,OTHER,150,3565529550,PRJNA472569,SAMN09237494,1295166573,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4111658,IP,GSM3149728,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-05-09T00:00:00Z,GSM3149728,Y482,SRP148645,RiboTag mice (B6 background) crossed with Aldh1l1-Cre/ERT2 mice (FVB background but backcrossed with C57BL/6N for more than 9 generations),Control
SRR7195131,OTHER,150,3522419550,PRJNA472569,SAMN09237494,1280049311,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX4111658,IP,GSM3149728,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-05-09T00:00:00Z,GSM3149728,Y482,SRP148645,RiboTag mice (B6 background) crossed with Aldh1l1-Cre/ERT2 mice (FVB background but backcrossed with C57BL/6N for more than 9 generations),Control
SRR7195132,OTHER,150,3567038550,PRJNA472569,SAMN09237494,1298220933,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4111658,IP,GSM3149728,Illumina HiSeq 4000,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-05-09T00:00:00Z,GSM3149728,Y482,SRP148645,RiboTag mice (B6 background) crossed with Aldh1l1-Cre/ERT2 mice (FVB background but backcrossed with C57BL/6N for more than 9 generations),Control
